Home Team:,DCS,24,2-3
Away Team:,CND,31,3-2
 
Stadium:,Wiry Bets Stadium,Washington DC
 
Play:,Ball:,Offense:,Defense:,Kickoff:,Down:,Distance:,LOS:,Passing Yards:,Incomplete:,Rushing Yards:,Kicking Yards:,Punting Yards:,Return Yards:,Sack:,FG:,TD:,Safety:,Interception:,Fumble:,Turnover:,Minor Injury:,Major Injury:,Injured Position:,Penalty:,Penalty Type:,Penalty Yards:,Was Accepted?:
First Quarter:
11,DCS,Draw,Cover 1 Mike Dog,False,1,10,25,0,False,15,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
12,DCS,Scissors,Cover 0 Bullets,False,1,10,40,-4,True,0,0,0,0,False,False,False,False,True,False,True,False,False,,True,Offense: Holding,-10,False
13,CND,Power,Cover 3,False,1,10,64,0,False,8,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
14,CND,Power,Cover 3,False,2,2,72,0,False,4,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
15,CND,Draw,Hulk,False,1,10,76,0,False,5,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
16,CND,Draw,Cover 4,False,2,5,81,0,False,7,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
17,CND,Scissors,Cover 3,False,1,10,88,12,False,0,0,0,0,False,False,True,False,False,False,False,False,False,,False,,0,False
18,CND,Field Goal,,False,0,0,85,0,False,0,0,0,0,False,True,False,False,False,False,False,False,False,,False,,0,False
19,CND,Kickoff,,True,0,0,0,0,False,0,60,0,15,False,False,False,False,False,False,False,False,False,,False,,0,False
20,DCS,Sweep,Cover 0 Bullets,False,1,10,20,0,False,9,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
21,DCS,Streaks,Cover 1 Mike Dog,False,2,1,29,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
22,DCS,Power,Cover 0 Bullets,False,3,1,29,0,False,6,0,0,0,False,False,False,False,False,False,False,False,False,,True,Offense: Illegal Formation,-5,True
23,DCS,Play Action,Cover 0 Bullets,False,3,6,24,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
24,DCS,Punt,,False,4,6,24,0,False,0,0,65,14,False,False,False,False,False,False,False,False,False,,False,,0,False
25,CND,Scissors,Cover 1 Mike Dog,False,1,10,25,18,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
26,CND,Flood,Cover 0 Bullets,False,1,10,43,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
27,CND,Flood,Cover 3,False,2,10,43,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
28,CND,Sweep,Hulk,False,3,10,43,0,False,8,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
29,CND,Punt,,False,4,2,51,0,False,0,0,49,20,False,False,False,False,False,False,False,False,False,,False,,0,False
30,DCS,Slants,Cover 1 Mike Dog,False,1,10,20,6,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,True,Defense: Unnecessary Roughness,15,True
31,DCS,Play Action,Cover 1 Mike Dog,False,1,10,10,17,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
32,DCS,Flood,Cover 0 Bullets,False,1,10,27,15,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
33,DCS,Screen Pass,Cover 3,False,1,10,42,21,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
34,DCS,Streaks,Cover 1 Mike Dog,False,1,10,63,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
35,DCS,Screen Pass,Cover 1 Mike Dog,False,2,10,63,26,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
 
Halftime:
 
Third Quarter:
1,DCS,Kickoff,,True,0,0,0,0,False,0,65,0,25,False,False,False,False,False,False,False,False,False,,False,,0,False
2,CND,Draw,Cover 3,False,1,10,25,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
3,CND,Power,Cover 3,False,2,10,25,0,False,4,0,0,0,False,False,False,False,False,False,False,True,False,,False,,0,False
4,CND,Blast,Cover 2,False,3,6,29,0,False,1,0,0,0,False,False,False,False,False,False,False,False,False,,True,Defense: Encroachment,5,True
5,CND,Power,Cover 2,False,3,1,34,0,False,-1,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
6,CND,Punt,,False,4,2,33,0,False,0,0,45,78,False,False,True,False,False,False,False,False,False,,False,,0,False
7,DCS,Field Goal,,False,0,0,85,0,False,0,0,0,0,False,True,False,False,False,False,False,False,False,,False,,0,False
8,DCS,Kickoff,,True,0,0,0,0,False,0,50,0,24,False,False,False,False,False,False,False,False,False,,False,,0,False
9,CND,Power,Cover 2,False,1,10,39,0,False,7,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
10,CND,Power,Hulk,False,2,3,46,0,False,13,0,0,0,False,False,False,False,False,False,False,False,False,,True,Defense: Illegal Use of Hands,5,False
11,CND,Power,Cover 2,False,1,10,59,0,False,6,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
12,CND,Draw,Cover 1 Mike Dog,False,2,4,65,0,False,13,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
13,CND,Sweep,Cover 2,False,1,10,78,0,False,-6,0,0,0,False,False,False,False,False,False,False,False,False,,True,Offense: Holding,-10,True
14,CND,Option,Cover 1 Mike Dog,False,1,20,68,0,False,8,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
15,CND,Power,Cover 3,False,2,12,76,0,False,7,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
16,CND,Sweep,Cover 3,False,3,5,83,0,False,7,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
17,CND,Power,Hulk,False,1,10,90,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
18,CND,Sweep,Cover 3,False,2,10,90,0,False,8,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
19,CND,Power,Cover 3,False,3,2,98,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,True,Offense: False Start,-5,True
20,CND,Draw,Cover 4,False,3,7,93,0,False,7,0,0,0,False,False,True,False,False,False,False,False,False,,False,,0,False
21,CND,Field Goal,,False,0,0,85,0,False,0,0,0,0,False,True,False,False,False,False,False,False,False,,False,,0,False
22,CND,Kickoff,,True,0,0,0,0,False,0,60,0,32,False,False,False,False,False,False,False,False,False,,False,,0,False
23,DCS,Play Action,Cover 1 Mike Dog,False,1,10,37,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
24,DCS,Draw,Cover 0 Bullets,False,2,10,37,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
25,DCS,Screen Pass,Cover 0 Bullets,False,3,10,37,16,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,True,Offense: Holding,-10,True
26,DCS,Play Action,Cover 3,False,3,20,27,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
27,DCS,Punt,,False,4,20,27,0,False,0,0,65,0,False,False,False,False,False,True,True,False,False,,False,,0,False
28,CND,Sweep,Cover 3,False,1,10,92,0,False,8,0,0,0,False,False,True,False,False,False,False,False,False,,False,,0,False
29,CND,Field Goal,,False,0,0,85,0,False,0,0,0,0,False,True,False,False,False,False,False,False,False,,False,,0,False
30,CND,Kickoff,,True,0,0,0,0,False,0,55,0,24,False,False,False,False,False,False,False,False,False,,False,,0,False
31,DCS,Play Action,Cover 0 Bullets,False,1,10,34,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,True,Defense: Holding,5,True
