Home Team:,HTX,42,2-2
Away Team:,ATL,22,0-4
 
Stadium:,The Swisha House,Houston TX
 
Play:,Ball:,Offense:,Defense:,Kickoff:,Down:,Distance:,LOS:,Passing Yards:,Incomplete:,Rushing Yards:,Kicking Yards:,Punting Yards:,Return Yards:,Sack:,FG:,TD:,Safety:,Interception:,Fumble:,Turnover:,Minor Injury:,Major Injury:,Injured Position:,Penalty:,Penalty Type:,Penalty Yards:,Was Accepted?:
First Quarter:
11,ATL,Play Action,Cover 3,False,1,10,19,9,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
12,ATL,Play Action,Cover 1 Mike Dog,False,2,1,28,10,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
13,ATL,Flood,Cover 2,False,1,10,38,10,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,True,Defense: Encroachment,5,True
14,ATL,Play Action,Cover 3,False,1,5,43,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
15,ATL,Power,Cover 2,False,2,5,43,0,False,5,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
16,ATL,Draw,Cover 1 Mike Dog,False,1,10,48,0,False,13,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
17,ATL,Flood,Cover 2,False,1,10,61,9,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
18,ATL,Blast,Cover 3,False,2,1,70,0,False,-3,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
19,ATL,Draw,Cover 3,False,3,4,67,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
20,ATL,Field Goal,,False,4,4,67,0,False,0,0,0,0,False,True,False,False,False,False,False,False,False,,False,,0,False
21,ATL,Kickoff,,True,0,0,0,0,False,0,65,0,25,False,False,False,False,False,False,False,False,False,,False,,0,False
22,HTX,Play Action,Cover 1 Mike Dog,False,1,10,25,14,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,True,Defense: Holding,5,False
23,HTX,Power,Cover 0 Bullets,False,1,10,39,0,False,6,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
24,HTX,Screen Pass,Cover 0 Bullets,False,2,4,45,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
25,HTX,Slants,Cover 0 Bullets,False,3,4,45,7,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
26,HTX,Play Action,Cover 2,False,1,10,52,13,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
27,HTX,Flood,Cover 2,False,1,10,65,0,True,0,0,0,0,False,False,False,False,False,False,False,False,True,,False,,0,False
28,HTX,Draw,Cover 2,False,2,10,65,0,False,17,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
29,HTX,Power,Cover 2,False,1,10,82,0,False,6,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
30,HTX,Draw,Cover 1 Mike Dog,False,2,4,88,0,False,11,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
31,HTX,Slants,Cover 2,False,1,10,99,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
32,HTX,Play Action,Cover 2,False,2,10,99,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
33,HTX,Slants,Cover 1 Mike Dog,False,3,10,99,1,False,0,0,0,0,False,False,True,False,False,False,False,False,False,,False,,0,False
34,HTX,Field Goal,,False,0,0,85,0,False,0,0,0,0,False,True,False,False,False,False,False,False,False,,False,,0,False
35,HTX,Kickoff,,True,0,0,0,0,False,0,65,0,25,False,False,False,False,False,False,False,False,False,,False,,0,False
 
Halftime:
 
Third Quarter:
1,HTX,Kickoff,,True,0,0,0,0,False,0,50,0,9,False,False,False,False,False,False,False,False,False,,False,,0,False
2,ATL,Slants,Cover 3,False,1,10,24,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
3,ATL,Draw,Cover 3,False,2,10,24,0,False,4,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
