Home Team:,MTL,30,3-6,Montreal,Ouis
Away Team:,KON,12,5-4,Kelowna,Keions
 
Stadium:,The Canadian Lourve,Montreal QU
 
Play:,Ball:,Offense:,Defense:,Kickoff:,Down:,Distance:,LOS:,Passing Yards:,Incomplete:,Rushing Yards:,Kicking Yards:,Punting Yards:,Return Yards:,Sack:,FG:,TD:,Safety:,Interception:,Fumble:,Turnover:,Minor Injury:,Major Injury:,Injured Position:,Penalty:,Penalty Type:,Penalty Yards:,Was Accepted?:
First Quarter:
11,MTL,Play Action,Cover 0 Bullets,False,1,10,43,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
12,MTL,Blast,Cover 3,False,2,10,43,0,False,4,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
13,MTL,Scissors,Cover 3,False,3,6,47,-8,True,0,0,0,0,False,False,False,False,True,False,True,True,False,,False,,0,False
14,KON,Play Action,Cover 0 Bullets,False,1,10,61,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
15,KON,Power,Cover 0 Bullets,False,2,10,61,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
16,KON,Blast,Cover 0 Bullets,False,3,10,61,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
17,KON,Field Goal,,False,4,10,61,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
18,MTL,Blast,Cover 3,False,1,10,46,0,False,3,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
19,MTL,Flood,Cover 2,False,2,7,49,17,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,True,Defense: Pass Interference,15,False
20,MTL,Flood,Cover 2,False,1,10,66,11,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
21,MTL,Play Action,Cover 0 Bullets,False,1,10,77,17,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
22,MTL,Slants,Cover 2,False,1,10,94,6,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,True,Defense: Encroachment,5,True
23,MTL,Slants,Cover 3,False,1,5,99,1,False,0,0,0,0,False,False,True,False,False,False,False,False,False,,False,,0,False
24,MTL,Field Goal,,False,0,0,85,0,False,0,0,0,0,False,True,False,False,False,False,False,False,False,,False,,0,False
25,MTL,Kickoff,,True,0,0,0,0,False,0,60,0,13,False,False,False,False,False,False,False,False,False,,False,,0,False
26,KON,Blast,Cover 3,False,1,10,18,0,False,3,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
27,KON,Scissors,Cover 2,False,2,7,21,2,True,0,0,0,0,False,False,False,False,True,False,True,False,False,,False,,0,False
28,MTL,Play Action,Cover 1 Mike Dog,False,1,10,77,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
29,MTL,Blast,Cover 2,False,2,10,77,0,False,2,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
30,MTL,Draw,Cover 0 Bullets,False,3,8,79,0,False,11,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
31,MTL,Slants,Cover 1 Mike Dog,False,1,10,90,9,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
32,MTL,Draw,Cover 3,False,2,1,99,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
33,MTL,Play Action,Cover 3,False,3,1,99,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
34,MTL,Field Goal,,False,4,1,99,0,False,0,0,0,0,False,True,False,False,False,False,False,False,False,,False,,0,False
35,MTL,Kickoff,,True,0,0,0,0,False,0,65,0,25,False,False,False,False,False,False,False,False,False,,False,,0,False
 
Halftime:
 
Third Quarter:
1,KON,Kickoff,,True,0,0,0,0,False,0,65,0,25,False,False,False,False,False,False,False,False,False,,False,,0,False
2,MTL,Power,Cover 1 Mike Dog,False,1,10,25,0,False,15,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
3,MTL,Blast,Cover 1 Mike Dog,False,1,10,40,0,False,4,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
4,MTL,Option,Cover 0 Bullets,False,2,6,44,0,False,0,0,0,0,False,False,False,False,False,True,False,False,False,,False,,0,False
5,MTL,Blast,Cover 3,False,3,6,44,0,False,4,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
6,MTL,Punt,,False,4,2,48,0,False,0,0,50,18,False,False,False,False,False,False,False,False,False,,False,,0,False
7,KON,Sweep,Cover 2,False,1,10,20,0,False,22,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
8,KON,Sweep,Cover 2,False,1,10,42,0,False,10,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
9,KON,Blast,Cover 1 Mike Dog,False,1,10,52,0,False,4,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
10,KON,Sweep,Cover 2,False,2,6,56,0,False,11,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
11,KON,Blast,Cover 0 Bullets,False,1,10,67,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
12,KON,Power,Cover 3,False,2,10,67,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
13,KON,Draw,Cover 2,False,3,10,67,0,False,9,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
14,KON,Field Goal,,False,4,1,76,0,False,0,0,0,0,False,True,False,False,False,False,False,False,False,,False,,0,False
15,KON,Kickoff,,True,0,0,0,0,False,0,55,0,15,False,False,False,False,False,False,False,False,False,,False,,0,False
16,MTL,Option,Cover 1 Mike Dog,False,1,10,25,0,False,21,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
17,MTL,Draw,Cover 1 Mike Dog,False,1,10,46,0,False,-2,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
18,MTL,Slants,Cover 3,False,2,12,44,8,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
19,MTL,Option,Cover 3,False,3,4,52,0,False,13,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
20,MTL,Power,Cover 2,False,1,10,65,0,False,16,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
21,MTL,Draw,Cover 0 Bullets,False,1,10,81,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
